"Index","value"
2011-12-14,119891.546773024
2011-12-15,120020.47100557
2011-12-16,120024.902412819
2011-12-19,119981.350143416
2011-12-20,120129.010985555
2011-12-21,120005.234179229
2011-12-22,120086.504081191
2011-12-28,120030.502432816
2011-12-29,120129.836386074
2012-01-04,120094.61163882
2012-01-05,119946.939576957
2012-01-06,119972.10326228
2012-01-09,120139.988732966
2012-01-10,120195.914918433
2012-01-11,120290.87456244
2012-01-12,120454.740553696
2012-01-13,120366.056924419
2012-01-16,120527.793393571
2012-01-17,120558.615749734
2012-01-18,120620.562746556
2012-01-19,120604.488905888
2012-01-20,120627.532768765
2012-01-30,121231.67174997
2012-01-31,121169.767580723
2012-02-01,121267.899247896
2012-02-02,121292.381771983
2012-02-03,121202.024657955
2012-02-06,121235.562849914
2012-02-07,121214.521339861
2012-02-08,121130.917760072
2012-02-09,121115.292129506
2012-02-10,121111.926197308
2012-02-13,121183.727301583
2012-02-14,121207.991020715
2012-02-15,121156.324843566
2012-02-16,121221.923838724
2012-02-17,121128.2529221
2012-02-20,121233.416326801
2012-02-21,121137.797964839
2012-02-22,121171.772399103
2012-02-23,121359.446595598
2012-02-24,121393.274830048
2012-02-27,121557.163919476
2012-02-28,121622.268148852
2012-02-29,121450.733266348
2012-03-01,121476.51169544
2012-03-02,121421.047522015
2012-03-05,121441.057387867
2012-03-06,121375.565701352
2012-03-07,121483.566344762
2012-03-08,121577.829023109
2012-03-09,121366.513279034
2012-03-12,121451.297049835
2012-03-13,121377.111866389
2012-03-14,121034.533942735
2012-03-15,121026.563728397
2012-03-16,121064.517719657
2012-03-19,121036.695172116
2012-03-20,120955.789562509
2012-03-21,121015.259464105
2012-03-22,120895.797928787
2012-03-23,121119.580801721
2012-03-26,121294.971232567
2012-03-27,121250.108151039
2012-03-28,121252.556052375
2012-03-29,121331.374248419
2012-03-30,121282.257242644
2012-04-10,121481.34631908
2012-04-11,121494.299957896
2012-04-12,121626.681521933
2012-04-13,121598.127335681
2012-04-16,121720.153840408
2012-04-17,121674.072439481
2012-04-18,121684.419346363
2012-04-19,121706.744438109
2012-04-20,121798.936534979
2012-04-23,121828.149720321
2012-04-24,121868.182233725
2012-04-26,121953.330092194
2012-04-27,122169.417170039
2012-05-02,122096.794369753
2012-05-03,122085.529692073
2012-05-08,122167.864370711
2012-05-09,122080.481339302
2012-05-10,122140.140306613
2012-05-11,122173.20799272
2012-05-15,122124.377414058
2012-05-16,122160.188872769
2012-05-17,122223.244481356
2012-05-18,122336.129300261
2012-05-21,122335.24515807
2012-05-22,122134.108570755
2012-05-23,122224.360837725
2012-05-24,122265.614079653
2012-05-25,122262.518333023
2012-05-28,122373.208548456
2012-05-29,122414.718789285
2012-05-30,122443.545685703
2012-05-31,122652.058375744
2012-06-06,122846.119741493
2012-06-07,122787.021414769
2012-06-08,122871.412412694
2012-06-12,122838.875598231
2012-06-13,122865.195188601
2012-06-14,123018.057072571
2012-06-15,123113.744482662
2012-06-18,123049.446669927
2012-06-19,123166.199268149
2012-06-20,123140.121022529
2012-06-21,123038.032922501
2012-06-25,123093.467457693
2012-06-26,123097.121727187
2012-06-27,123054.645790472
2012-06-28,123096.442713467
2012-06-29,123313.493536109
2012-07-02,123363.124586772
2012-07-03,123433.149179285
2012-07-04,123371.943424675
2012-07-05,123428.853026652
2012-07-06,123414.749051344
2012-07-09,123562.715522557
2012-07-10,123566.815857696
2012-07-11,123669.368521403
2012-07-12,123653.577207043
2012-07-13,123792.220576524
2012-07-16,123882.132223899
2012-07-17,123937.873921427
2012-07-18,123903.99994995
2012-07-19,123958.956849064
2012-07-20,123906.330070751
2012-07-23,123931.178430182
2012-07-24,123822.485678961
2012-07-25,123994.424465769
2012-07-26,124136.505180221
2012-07-27,123987.917769544
2012-07-30,124034.797817129
2012-07-31,124019.168112556
2012-08-01,123955.71688285
2012-08-02,123967.833594085
2012-08-03,124084.215605605
2012-08-06,124075.399300861
2012-08-07,123963.867224071
2012-08-08,123919.82895782
2012-08-09,123868.89567493
2012-08-10,123952.422031433
2012-08-13,123994.630766383
2012-08-14,123864.418357713
2012-08-15,123763.692849416
2012-08-16,123756.351440286
2012-08-17,123699.238179514
2012-08-20,123771.669603302
2012-08-21,123880.153013837
2012-08-22,124041.112085503
2012-08-23,124162.547031797
2012-08-28,124223.338936941
2012-08-29,124164.533346193
2012-08-30,124181.662260543
2012-08-31,124331.908401332
2012-09-03,124293.97406609
2012-09-04,124330.24305374
2012-09-05,124350.682999208
2012-09-06,124306.214752639
2012-09-07,124506.996306646
2012-09-10,124436.617337286
2012-09-11,124519.832158631
2012-09-12,124436.879907203
2012-09-13,124596.63595389
2012-09-14,124414.009833961
2012-09-17,124309.341512647
2012-09-18,124374.656936436
2012-09-19,124409.829517635
2012-09-20,124380.352222559
2012-09-21,124415.337743998
2012-09-24,124446.872721445
2012-09-25,124526.833563077
2012-09-26,124610.606968555
2012-09-27,124697.535931639
2012-09-28,124610.951044429
2012-10-08,124574.286587339
2012-10-09,124530.938911278
2012-10-10,124573.584727423
2012-10-11,124660.092652281
2012-10-12,124640.47866986
2012-10-15,124713.440205466
2012-10-16,124700.708742728
2012-10-17,124639.352731477
2012-10-18,124532.438216394
2012-10-19,124613.58308198
2012-10-22,124626.021003813
2012-10-23,124539.087745014
2012-10-24,124580.665560012
2012-10-25,124453.411715872
2012-10-26,124630.265665447
2012-10-29,124630.807844236
2012-10-30,124700.148927094
2012-10-31,124739.445464848
2012-11-01,124740.393544096
2012-11-02,124612.002060716
2012-11-05,124716.633340341
2012-11-06,124717.698003268
2012-11-07,124820.373123104
2012-11-08,124863.423901977
2012-11-09,124906.268234088
2012-11-12,124908.297525428
2012-11-13,124948.718588396
2012-11-14,124922.675370945
2012-11-15,124982.344488329
2012-11-16,125017.803333804
2012-11-19,125051.758896911
2012-11-20,124949.564901535
2012-11-21,124888.752831292
2012-11-22,124924.56672799
2012-11-23,125004.941359328
2012-11-26,125081.200356639
2012-11-27,125054.921279529
2012-11-28,125227.528122347
2012-11-29,125162.542069941
2012-11-30,125231.391293383
2012-12-03,125264.039876528
2012-12-04,125346.407343852
2012-12-05,125356.142035172
2012-12-06,125379.58711237
2012-12-07,125336.287548135
2012-12-10,125375.821221547
2012-12-11,125320.48359595
2012-12-12,125434.305505338
2012-12-13,125274.217796808
2012-12-14,125393.296473619
2012-12-17,125328.748404699
2012-12-18,125247.34283123
2012-12-19,125275.960187915
2012-12-20,125291.530793347
2012-12-21,125284.378579625
2012-12-27,125411.608504973
2012-12-28,125410.386703218
2013-01-04,125187.130294469
2013-01-07,125271.92841717
2013-01-08,125287.762942026
2013-01-09,125346.180331989
2013-01-10,125422.998958527
2013-01-11,125397.771065892
2013-01-14,125504.620878209
2013-01-15,125494.215389623
2013-01-16,125573.779689805
2013-01-17,125564.233677904
2013-01-18,125504.402354159
2013-01-21,125561.668364887
2013-01-22,125635.364930594
2013-01-23,125662.701737392
2013-01-24,125637.53782704
2013-01-25,125519.058074726
2013-01-29,125483.267508604
2013-01-30,125416.487257198
2013-01-31,125482.429314488
2013-02-01,125497.392220189
2013-02-04,125517.40428408
2013-02-05,125512.089081143
2013-02-06,125518.442133524
2013-02-07,125497.716302528
2013-02-08,125455.031108743
2013-02-18,125652.923484381
2013-02-19,125675.036419569
2013-02-20,125521.779362986
2013-02-21,125594.278858164
2013-02-22,125661.823070902
2013-02-25,125677.176745726
2013-02-26,125677.289188692
2013-02-27,125740.60085451
2013-02-28,125708.360614124
2013-03-04,125791.439508781
2013-03-05,125793.281245011
2013-03-06,125677.865086252
2013-03-07,125696.546881957
2013-03-08,125525.001535484
2013-03-11,125598.874491854
2013-03-12,125649.374762886
2013-03-13,125623.345726753
2013-03-14,125657.085308773
2013-03-15,125773.942191209
2013-03-18,125859.115195247
2013-03-19,125820.118507222
