"Index","SP500.usd"
2008-09-26,8304.954477
2008-09-29,7573.555542
2008-09-30,7983.850836
2008-10-01,7947.571806
2008-10-02,7627.358028
2008-10-03,7524.339273
2008-10-06,7232.192581
2008-10-07,6789.506696
2008-10-08,6710.987184
2008-10-09,6206.10936
2008-10-10,6146.1687
2008-10-13,6857.89725
2008-10-14,6817.605912
2008-10-15,6201.90896
2008-10-16,6467.807977
2008-10-17,6427.812755
2008-10-20,6730.38054
2008-10-21,6526.42968
2008-10-22,6129.222266
2008-10-23,6207.385905
2008-10-24,6000.701557
2008-10-27,5817.054516
2008-10-28,6431.959788
2008-10-29,6363.210735
2008-10-30,6524.258238
2008-10-31,6625.765625
2008-11-03,6607.65603
2008-11-04,6875.307
2008-11-05,6505.894668
2008-11-06,6174.177216
2008-11-07,6354.565344
2008-11-10,6274.987065
2008-11-11,6131.827845
2008-11-12,5820.86808
2008-11-13,6224.1107
2008-11-14,5959.592947
2008-11-17,5808.07025
2008-11-18,5862.978528
2008-11-19,5508.9414
2008-11-20,5142.55118
2008-11-21,5464.764921
2008-11-24,5813.943974
2008-11-25,5850.82936
2008-11-26,6061.700416
2008-11-28,6117.644616
2008-12-01,5619.524229
2008-12-02,5839.218633
2008-12-03,5986.598722
2008-12-04,5816.973084
2008-12-05,6023.156464
2008-12-08,6257.91727
2008-12-09,6108.273245
2008-12-10,6172.83298
2008-12-11,5985.314526
2008-12-12,6019.552525
2008-12-15,5949.009644
2008-12-16,6250.7171
2008-12-17,6181.982026
2008-12-18,6050.44616
2008-12-19,6077.09466
2008-12-22,5972.234434
2008-12-23,5911.35126
2008-12-24,5934.6734
2008-12-26,5971.17392
2008-12-29,5951.353784
2008-12-30,6083.783712
2008-12-31,6162.87475
2009-01-02,6357.6714
2009-01-05,6334.947225
2009-01-06,6390.07655
2009-01-07,6195.592775
2009-01-08,6217.731631
2009-01-09,6085.987425
2009-01-12,5949.619516
2009-01-13,5957.987218
2009-01-14,5759.3077
2009-01-15,5768.22851
2009-01-16,5812.610488
2009-01-20,5508.51002
2009-01-21,5746.989528
2009-01-22,5658.03125
2009-01-23,5690.288415
2009-01-26,5721.887829
2009-01-27,5784.402687
2009-01-28,5978.513373
2009-01-29,5780.504058
2009-01-30,5644.8898
2009-02-02,5652.2004
2009-02-03,5735.827655
