"Index","price"
2009-01-27,3042.161766
2009-01-28,3007.826472
2009-01-29,2969.318961
2009-01-30,2961.3321
2009-02-02,2997.2877
2009-02-03,2964.26227
2009-02-04,2944.63392
2009-02-05,2949.18712
2009-02-06,2929.770592
2009-02-09,2921.646252
2009-02-10,2958.097968
2009-02-11,2982.486804
2009-02-12,3000.22325
2009-02-13,2965.351935
2009-02-16,2959.356932
2009-02-17,3020.41824
2009-02-18,3003.615954
2009-02-19,2971.460205
2009-02-20,2993.941508
2009-02-23,2991.7754
2009-02-24,2987.421489
2009-02-25,2949.791108
2009-02-26,2942.13081
2009-02-27,2927.212008
2009-03-02,2960.78284
2009-03-03,2954.732246
2009-03-04,2938.008488
2009-03-05,2986.282832
2009-03-06,2983.8132
2009-03-09,2969.255835
2009-03-10,2945.975254
2009-03-11,2962.645644
2009-03-12,2968.312752
2009-03-13,2969.625114
2009-03-16,2953.530153
2009-03-17,2940.089742
2009-03-18,3060.62344
2009-03-19,3038.94985
2009-03-20,3034.025049
2009-03-23,3028.05678
2009-03-24,3026.8344
2009-03-25,2998.218628
2009-03-26,3008.832558
2009-03-27,3002.17099
2009-03-30,3016.376286
2009-03-31,3022.686156
2009-04-01,3030.762674
2009-04-02,3006.291515
2009-04-03,2967.32842
2009-04-06,2960.972056
2009-04-07,2968.95522
2009-04-08,2984.174235
2009-04-09,2964.8061
2009-04-10,2965.14243
2009-04-13,2985.727393
2009-04-14,2999.174731
2009-04-15,3006.43665
2009-04-16,2988.292219
2009-04-17,2963.435272
2009-04-20,2986.556544
2009-04-21,2968.447392
2009-04-22,2955.434328
2009-04-23,2963.718684
2009-04-24,2946.45393
2009-04-27,2966.145312
2009-04-28,2946.10554
2009-04-29,2922.93335
2009-04-30,2912.59046
2009-05-01,2901.612675
2009-05-04,2907.229312
2009-05-05,2906.181081
2009-05-06,2907.715107
2009-05-07,2879.49158
2009-05-08,2878.016874
2009-05-11,2906.034768
2009-05-12,2905.890785
2009-05-13,2922.62255
2009-05-14,2923.087257
2009-05-15,2919.80325
2009-05-18,2899.01728
2009-05-19,2891.378282
2009-05-20,2901.37575
2009-05-21,2864.121849
2009-05-22,2841.8628
2009-05-25,2842.427306
2009-05-26,2835.407016
2009-05-27,2785.878117
2009-05-28,2791.135908
2009-05-29,2841.187347
2009-06-01,2781.8395
2009-06-02,2801.174464
2009-06-03,2822.8281
2009-06-04,2785.321413
2009-06-05,2752.646004
2009-06-08,2747.705751
2009-06-09,2754.529492
2009-06-10,2736.081612
2009-06-11,2755.133962
2009-06-12,2772.233178
2009-06-15,2790.167482
2009-06-16,2798.65968
2009-06-17,2806.479081
2009-06-18,2762.380699
2009-06-19,2773.350184
2009-06-22,2796.608115
2009-06-23,2808.856659
2009-06-24,2797.990404
2009-06-25,2831.711472
2009-06-26,2841.984315
2009-06-29,2844.991055
2009-06-30,2837.184785
2009-07-01,2832.529427
2009-07-02,2844.458332
2009-07-03,2845.667925
2009-07-06,2843.930528
2009-07-07,2854.470528
2009-07-08,2895.808968
2009-07-09,2865.9401
2009-07-10,2894.946663
2009-07-13,2882.894976
2009-07-14,2859.431992
2009-07-15,2823.54161
2009-07-16,2832.762016
2009-07-17,2812.14581
2009-07-20,2827.60966
2009-07-21,2853.51363
2009-07-22,2835.355263
2009-07-23,2799.644365
2009-07-24,2809.75482
2009-07-27,2799.835632
2009-07-28,2805.36849
2009-07-29,2811.913715
2009-07-30,2817.913812
