"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2008","2,098.64","2,098.64","2,098.64","2,098.64","0","0.06"
"Feb 29, 2008","2,097.48","2,097.48","2,097.48","2,097.48","0","-2.71"
"Feb 28, 2008","2,155.81","2,155.81","2,155.81","2,155.81","0","-0.88"
"Feb 27, 2008","2,175.00","2,175.00","2,175.00","2,175.00","0","-0.07"
"Feb 26, 2008","2,176.48","2,176.48","2,176.48","2,176.48","0","0.69"
"Feb 25, 2008","2,161.51","2,161.51","2,161.51","2,161.51","0","1.38"
"Feb 22, 2008","2,132.02","2,132.02","2,132.02","2,132.02","0","0.80"
"Feb 21, 2008","2,115.13","2,115.13","2,115.13","2,115.13","0","-1.25"
"Feb 20, 2008","2,141.95","2,141.95","2,141.95","2,141.95","0","0.84"
"Feb 19, 2008","2,124.12","2,124.12","2,124.12","2,124.12","0","-0.08"
"Feb 15, 2008","2,125.85","2,125.85","2,125.85","2,125.85","0","0.09"
"Feb 14, 2008","2,123.94","2,123.94","2,123.94","2,123.94","0","-1.34"
"Feb 13, 2008","2,152.76","2,152.76","2,152.76","2,152.76","0","1.40"
"Feb 12, 2008","2,123.06","2,123.06","2,123.06","2,123.06","0","0.73"
"Feb 11, 2008","2,107.65","2,107.65","2,107.65","2,107.65","0","0.59"
"Feb 08, 2008","2,095.21","2,095.21","2,095.21","2,095.21","0","-0.42"
"Feb 07, 2008","2,104.02","2,104.02","2,104.02","2,104.02","0","0.81"
"Feb 06, 2008","2,087.05","2,087.05","2,087.05","2,087.05","0","-0.72"
"Feb 05, 2008","2,102.23","2,102.23","2,102.23","2,102.23","0","-3.19"
"Feb 04, 2008","2,171.51","2,171.51","2,171.51","2,171.51","0","-1.04"
"Feb 01, 2008","2,194.43","2,194.43","2,194.43","2,194.43","0","1.22"
"Jan 31, 2008","2,167.90","2,167.90","2,167.90","2,167.90","0","1.69"
"Jan 30, 2008","2,131.78","2,131.78","2,131.78","2,131.78","0","-0.47"
"Jan 29, 2008","2,141.85","2,141.85","2,141.85","2,141.85","0","0.62"
"Jan 28, 2008","2,128.64","2,128.64","2,128.64","2,128.64","0","1.76"
"Jan 25, 2008","2,091.88","2,091.88","2,091.88","2,091.88","0","-1.59"
"Jan 24, 2008","2,125.60","2,125.60","2,125.60","2,125.60","0","1.01"
"Jan 23, 2008","2,104.37","2,104.37","2,104.37","2,104.37","0","2.15"
"Jan 22, 2008","2,060.15","2,060.15","2,060.15","2,060.15","0","-1.11"
"Jan 18, 2008","2,083.24","2,083.24","2,083.24","2,083.24","0","-0.60"
"Jan 17, 2008","2,095.86","2,095.86","2,095.86","2,095.86","0","-2.91"
"Jan 16, 2008","2,158.58","2,158.58","2,158.58","2,158.58","0","-0.55"
"Jan 15, 2008","2,170.51","2,170.51","2,170.51","2,170.51","0","-2.49"
"Jan 14, 2008","2,225.98","2,225.98","2,225.98","2,225.98","0","1.09"
"Jan 11, 2008","2,202.03","2,202.03","2,202.03","2,202.03","0","-1.35"
"Jan 10, 2008","2,232.25","2,232.25","2,232.25","2,232.25","0","0.80"
"Jan 09, 2008","2,214.60","2,214.60","2,214.60","2,214.60","0","1.37"
"Jan 08, 2008","2,184.67","2,184.67","2,184.67","2,184.67","0","-1.80"
"Jan 07, 2008","2,224.76","2,224.76","2,224.76","2,224.76","0","0.32"
"Jan 04, 2008","2,217.59","2,217.59","2,217.59","2,217.59","0","-2.46"
"Jan 03, 2008","2,273.41","2,273.41","2,273.41","2,273.41","0","0.00"
"Jan 02, 2008","2,273.41","2,273.41","2,273.41","2,273.41","0","-1.42"
"Dec 31, 2007","2,306.23","2,306.23","2,306.23","2,306.23","0","-0.68"
"Dec 28, 2007","2,322.11","2,322.11","2,322.11","2,322.11","0","0.15"
"Dec 27, 2007","2,318.72","2,318.72","2,318.72","2,318.72","0","-1.40"
"Dec 26, 2007","2,351.60","2,351.60","2,351.60","2,351.60","0","0.08"
"Dec 24, 2007","2,349.66","2,349.66","2,349.66","2,349.66","0","0.81"
"Dec 21, 2007","2,330.81","2,330.81","2,330.81","2,330.81","0","1.68"
"Dec 20, 2007","2,292.23","2,292.23","2,292.23","2,292.23","0","0.52"
"Dec 19, 2007","2,280.47","2,280.47","2,280.47","2,280.47","0","-0.13"
"Dec 18, 2007","2,283.50","2,283.50","2,283.50","2,283.50","0","0.63"
"Dec 17, 2007","2,269.24","2,269.24","2,269.24","2,269.24","0","-1.50"
"Dec 14, 2007","2,303.79","2,303.79","2,303.79","2,303.79","0","-1.37"
"Dec 13, 2007","2,335.79","2,335.79","2,335.79","2,335.79","0","0.13"
"Dec 12, 2007","2,332.85","2,332.85","2,332.85","2,332.85","0","0.62"
"Dec 11, 2007","2,318.51","2,318.51","2,318.51","2,318.51","0","-2.53"
"Dec 10, 2007","2,378.60","2,378.60","2,378.60","2,378.60","0","0.75"
"Dec 07, 2007","2,360.79","2,360.79","2,360.79","2,360.79","0","-0.18"
